BODEGA,CODIGO,NEW_MAX
3146,0000129934,2
3147,02341,4
3148,0000134875,2
3149,0000130646,2
3150,00589,4
3153,0000104679,2
3156,0000119583,4
317,0000134632,2
317,0000140693,2
319,0000101899,4
319,13373,20
321,0000128898,4
321,09082,10
322,0000130403,4
322,02344,4
324,0000106455,2
324,0000117019,4
324,0000123563,8
324,0000132070,2
324,12376,4
325,00407,4
325,12184,4
328,0000125020,4
328,0000129920,4
330,0000131655,4
330,12383,4
332,13581,2
333,02341,8
334,0000124078,11
339,0000116832,8
339,0000129277,4
339,0000129938,4
343,0000114086,4
343,0000116833,8
343,0000119134,8
345,0000138474,4
345,13007,4
345,17461,7
346,0000101913,40
346,0000126643,4
346,0000130691,4
346,0000131316,2
352,0000110889,4
352,0000134935,4
353,0000136771,3
353,0000137412,8
354,10436,13
358,0000131717,2
359,07987,2
366,0000134230,11
369,0000128405,2
369,0000131022,4
369,09072,4
377,13894,4
382,0000131215,2
385,0000114469,4
391,0000129277,13
392,0000133335,4
392,0000138169,2
392,04018,4
392,06231,5
393,0000103622,4
393,02347,4
394,0000111426,2
394,06233,2
395,0000135913,4
395,0000136643,4
396,05053,4
400,0000130785,2
400,0000137448,34
400,13435,16
403,0000131114,2
404,0000129873,2
415,0000135940,4
415,0000137770,4
416,0000101967,4
416,13581,2
418,0000102068,5
419,0000126340,4
419,0000128909,4
429,0000129080,3
431,0000113439,2
431,0000121674,4
431,0000141630,4
431,07434,4
434,06389,5
445,0000128761,2
451,0000105089,2
451,0000109448,2
451,0000139637,2
451,09703,2
452,0000131595,4
453,0000109147,11
453,09823,2
459,02346,7
461,0000112182,7
461,0000135182,4
461,07957,4
461,10749,4
464,08549,12
470,0000126749,4
473,20109,6
475,0000135404,2
477,0000112182,4
477,0000125443,4
479,0000110142,2
485,05658,7
485,12341,4
492,0000100634,4
492,0000114240,4
492,12337,4
497,01989,7
502,0000119926,4
502,06733,4
504,0000103924,4
504,0000119906,4
504,0000133360,4
504,0000135254,4
504,05181,3
504,09984,4
509,06190,2
510,0000141451,4
513,0000134998,4
515,0000126793,5
518,0000118716,7
518,0000120514,4
521,06233,2
523,0000107769,4
523,05233,2
523,12126,2
525,0000103872,2
525,0000124238,4
525,0000125148,4
525,0000129182,2
525,04098,2
526,05234,4
526,07400,2
526,09082,4
527,0000123941,4
528,0000105418,2
528,0000128763,2
539,0000126749,9
539,04471,6
540,01413,2
542,12150,2
546,0000131638,2
552,0000106683,2
552,0000125053,2
552,0000131998,2
552,09382,4
557,0000114048,4
